Time,Position,Percentage,Lots,Number
2024-01-29 17:30:09.820934,Short,29.0,6332.74,23133.0
2024-01-29 17:30:09.820934,Long,71.0,15210.44,52640.0
2024-01-29 17:30:23.543607,Short,29.0,6332.74,23133.0
2024-01-29 17:30:23.543607,Long,71.0,15210.44,52640.0
2024-01-29 17:30:32.877859,Short,29.0,6332.74,23133.0
2024-01-29 17:30:32.877859,Long,71.0,15210.44,52640.0
2024-01-29 17:30:39.912464,Short,29.0,6332.74,23133.0
2024-01-29 17:30:39.912464,Long,71.0,15210.44,52640.0
2024-01-29 17:30:46.405584,Short,29.0,6332.74,23133.0
2024-01-29 17:30:46.405584,Long,71.0,15210.44,52640.0
2024-01-29 17:30:52.848388,Short,29.0,6299.36,23072.0
2024-01-29 17:30:52.848388,Long,71.0,15200.12,52561.0
2024-01-29 17:30:59.294693,Short,29.0,6299.36,23072.0
2024-01-29 17:30:59.294693,Long,71.0,15200.12,52561.0
2024-01-29 17:31:05.803700,Short,29.0,6299.36,23072.0
2024-01-29 17:31:05.803700,Long,71.0,15200.12,52561.0
2024-01-29 17:31:12.659432,Short,29.0,6299.36,23072.0
2024-01-29 17:31:12.659432,Long,71.0,15200.12,52561.0
2024-01-29 17:31:19.487237,Short,29.0,6299.36,23072.0
2024-01-29 17:31:19.487237,Long,71.0,15200.12,52561.0
2024-01-29 17:31:25.939388,Short,29.0,6299.36,23072.0
2024-01-29 17:31:25.939388,Long,71.0,15200.12,52561.0
2024-01-29 17:31:33.077459,Short,29.0,6299.36,23072.0
2024-01-29 17:31:33.077459,Long,71.0,15200.12,52561.0
2024-01-29 17:31:39.527629,Short,29.0,6299.36,23072.0
2024-01-29 17:31:39.527629,Long,71.0,15200.12,52561.0
2024-01-29 17:31:46.469774,Short,29.0,6299.36,23072.0
2024-01-29 17:31:46.469774,Long,71.0,15200.12,52561.0
2024-01-29 17:31:53.267444,Short,29.0,6299.36,23072.0
2024-01-29 17:31:53.267444,Long,71.0,15200.12,52561.0
2024-01-29 17:32:00.487439,Short,29.0,6299.36,23072.0
2024-01-29 17:32:00.487439,Long,71.0,15200.12,52561.0
2024-01-29 17:32:07.654740,Short,29.0,6299.36,23072.0
2024-01-29 17:32:07.654740,Long,71.0,15200.12,52561.0
2024-01-29 17:32:14.671803,Short,29.0,6299.36,23072.0
2024-01-29 17:32:14.671803,Long,71.0,15200.12,52561.0
2024-01-29 17:32:21.702985,Short,29.0,6299.36,23072.0
2024-01-29 17:32:21.702985,Long,71.0,15200.12,52561.0
2024-01-29 17:32:28.860280,Short,29.0,6299.36,23072.0
2024-01-29 17:32:28.860280,Long,71.0,15200.12,52561.0
2024-01-29 17:32:36.009174,Short,29.0,6299.36,23072.0
2024-01-29 17:32:36.009174,Long,71.0,15200.12,52561.0
2024-01-29 17:32:42.875715,Short,29.0,6299.36,23072.0
2024-01-29 17:32:42.875715,Long,71.0,15200.12,52561.0
2024-01-29 17:32:49.846184,Short,29.0,6299.36,23072.0
2024-01-29 17:32:49.846184,Long,71.0,15200.12,52561.0
2024-01-29 17:32:56.698448,Short,29.0,6299.36,23072.0
2024-01-29 17:32:56.698448,Long,71.0,15200.12,52561.0
2024-01-29 17:33:03.407330,Short,29.0,6299.36,23072.0
2024-01-29 17:33:03.407330,Long,71.0,15200.12,52561.0
2024-01-29 17:33:10.337738,Short,29.0,6299.36,23072.0
2024-01-29 17:33:10.337738,Long,71.0,15200.12,52561.0
2024-01-29 17:33:17.118739,Short,29.0,6301.23,23078.0
2024-01-29 17:33:17.118739,Long,71.0,15179.48,52504.0
2024-01-29 17:33:23.983763,Short,29.0,6301.23,23078.0
2024-01-29 17:33:23.983763,Long,71.0,15179.48,52504.0
2024-01-29 17:33:30.794189,Short,29.0,6301.23,23078.0
2024-01-29 17:33:30.794189,Long,71.0,15179.48,52504.0
2024-01-29 17:33:38.045916,Short,29.0,6301.23,23078.0
2024-01-29 17:33:38.045916,Long,71.0,15179.48,52504.0
2024-01-29 17:33:44.770329,Short,29.0,6301.23,23078.0
2024-01-29 17:33:44.770329,Long,71.0,15179.48,52504.0
2024-01-29 17:33:46.986927,Short,29.0,6301.23,23078.0
2024-01-29 17:33:46.986927,Long,71.0,15179.48,52504.0
2024-01-29 17:33:53.389209,Short,29.0,6301.23,23078.0
2024-01-29 17:33:53.389209,Long,71.0,15179.48,52504.0
2024-01-29 17:33:59.869584,Short,29.0,6301.23,23078.0
2024-01-29 17:33:59.869584,Long,71.0,15179.48,52504.0
2024-01-29 17:34:06.291404,Short,29.0,6301.23,23078.0
2024-01-29 17:34:06.291404,Long,71.0,15179.48,52504.0
2024-01-29 17:34:13.262000,Short,29.0,6301.23,23078.0
2024-01-29 17:34:13.262000,Long,71.0,15179.48,52504.0
2024-01-29 17:34:20.086094,Short,29.0,6301.23,23078.0
2024-01-29 17:34:20.086094,Long,71.0,15179.48,52504.0
2024-01-29 17:34:26.839993,Short,29.0,6301.23,23078.0
2024-01-29 17:34:26.839993,Long,71.0,15179.48,52504.0
2024-01-29 17:34:33.692153,Short,29.0,6301.23,23078.0
2024-01-29 17:34:33.692153,Long,71.0,15179.48,52504.0
2024-01-29 17:34:40.467161,Short,29.0,6301.23,23078.0
2024-01-29 17:34:40.467161,Long,71.0,15179.48,52504.0
2024-01-29 17:34:47.200739,Short,29.0,6301.23,23078.0
2024-01-29 17:34:47.200739,Long,71.0,15179.48,52504.0
2024-01-29 17:34:54.402719,Short,29.0,6301.23,23078.0
2024-01-29 17:34:54.402719,Long,71.0,15179.48,52504.0
2024-01-29 17:35:01.252372,Short,29.0,6301.23,23078.0
2024-01-29 17:35:01.252372,Long,71.0,15179.48,52504.0
2024-01-29 17:35:08.182777,Short,29.0,6301.23,23078.0
2024-01-29 17:35:08.182777,Long,71.0,15179.48,52504.0
2024-01-29 17:35:14.770795,Short,29.0,6301.23,23078.0
2024-01-29 17:35:14.770795,Long,71.0,15179.48,52504.0
2024-01-29 17:35:21.480781,Short,29.0,6301.23,23078.0
2024-01-29 17:35:21.480781,Long,71.0,15179.48,52504.0
2024-01-29 17:35:28.067410,Short,29.0,6301.23,23078.0
2024-01-29 17:35:28.067410,Long,71.0,15179.48,52504.0
2024-01-29 17:35:34.799377,Short,29.0,6301.23,23078.0
2024-01-29 17:35:34.799377,Long,71.0,15179.48,52504.0
2024-01-29 17:35:41.930501,Short,29.0,6301.23,23078.0
2024-01-29 17:35:41.930501,Long,71.0,15179.48,52504.0
2024-01-29 17:35:49.141794,Short,29.0,6301.23,23078.0
2024-01-29 17:35:49.141794,Long,71.0,15179.48,52504.0
2024-01-29 17:35:55.953452,Short,29.0,6301.23,23078.0
2024-01-29 17:35:55.953452,Long,71.0,15179.48,52504.0
2024-01-29 17:36:02.762677,Short,29.0,6301.23,23078.0
2024-01-29 17:36:02.762677,Long,71.0,15179.05,52503.0
2024-01-29 17:36:09.513423,Short,29.0,6301.23,23078.0
2024-01-29 17:36:09.513423,Long,71.0,15179.05,52503.0
2024-01-29 17:36:16.932815,Short,29.0,6301.23,23078.0
2024-01-29 17:36:16.932815,Long,71.0,15179.05,52503.0
2024-01-29 17:36:24.200676,Short,29.0,6301.23,23078.0
2024-01-29 17:36:24.200676,Long,71.0,15179.05,52503.0
2024-01-29 17:36:31.354487,Short,29.0,6301.23,23078.0
2024-01-29 17:36:31.354487,Long,71.0,15179.05,52503.0
2024-01-29 17:36:38.687075,Short,29.0,6301.23,23078.0
2024-01-29 17:36:38.687075,Long,71.0,15179.05,52503.0
2024-01-29 17:36:45.756177,Short,29.0,6301.23,23078.0
2024-01-29 17:36:45.756177,Long,71.0,15179.05,52503.0
2024-01-29 17:36:53.567353,Short,29.0,6301.23,23078.0
2024-01-29 17:36:53.567353,Long,71.0,15179.05,52503.0
